id;saturacija;klasa;vrsta;tekst;stvarna_saturacija_klase;zadovoljava_li_kriterij_klase;postoji_li_riječ_na_jezičnom_portalu;ima_li_rečenica_smisla_subjektivno;sinteza_govora;napomena
1;0,50;N;riječ;Mama;0,500000;DA;DA;-;DA;
2;0,50;N;riječ;Baba;0,500000;DA;DA;-;DA;
3;0,50;N;riječ;Papuč;0,600000;DA;NE;-;NE;
4;0,50;N;riječ;Mnog;0,500000;DA;NE;-;NE;
5;0,50;N;riječ;Bun;1,000000;DA;NE;-;NE;
6;0,50;N;riječ;Pun;1,000000;DA;DA;-;DA;
7;0,50;N;riječ;Babuš;0,600000;DA;NE;-;NE;
8;0,50;SN;riječ;Voda;0,500000;DA;DA;-;DA;
9;0,50;SN;riječ;Gol;1,000000;DA;DA;-;DA;
10;0,50;SN;riječ;Loža;0,500000;DA;DA;-;DA;
11;0,50;SN;riječ;Vlak;0,500000;DA;DA;-;DA;
12;0,50;SN;riječ;Glava;0,600000;DA;DA;-;DA;
13;0,50;SN;riječ;Hvala;0,600000;DA;DA;-;DA;
14;0,50;SN;riječ;Ljubav;0,400000;NE;DA;-;DA;
15;0,50;SN;riječ;Gor;0,666667;DA;NE;-;NE;
16;0,50;SN;riječ;Vlaknj;0,400000;NE;NE;-;NE;
17;0,50;SN;riječ;Hod;0,666667;DA;DA;-;DA;
18;0,50;V;riječ;Vić;0,666667;DA;NE;-;NE;
19;0,50;V;riječ;Čić;0,666667;DA;NE;-;NE;
20;0,50;V;riječ;Plić;0,500000;DA;NE;-;NE;
21;0,50;V;riječ;Ćuš;0,333333;NE;DA;-;DA;
22;0,50;V;riječ;Izvić;0,800000;DA;NE;-;NE;
23;0,50;V;riječ;Ići;1,000000;DA;DA;-;DA;
24;0,50;V;riječ;Ćuć;0,666667;DA;NE;-;NE;
25;0,80;S;riječ;Kard;1,000000;DA;NE;-;NE;
26;0,80;S;riječ;Radak;1,000000;DA;NE;-;NE;
27;0,80;S;riječ;Drak;1,000000;DA;NE;-;NE;
28;0,80;S;riječ;Krad;1,000000;DA;NE;-;NE;
29;0,80;S;riječ;Krađa;0,800000;DA;DA;-;DA;
30;0,80;S;riječ;Kafar;1,000000;DA;NE;-;NE;
31;0,80;S;riječ;Kradža;1,000000;DA;NE;-;NE;
32;0,60;S;rečenica;Mali rat ide kraj dubokog kašna, dok šećer i kruh padaju na stol, a šljunak i fiskalski pregled pokazivaju da je sve u redu.;0,381443;NE;-;NE;MOŽE;
33;0,70;S;rečenica;Možda brat će staviti raf u kantinu, dok će ona pisati pjesmu za kudeljku.;0,327586;NE;-;NE;MOŽE;
34;0,70;SV;rečenica;Čekam šetati u času, šetnja je lijepa čast.;0,484848;NE;-;NE;MOŽE;
35;0,80;N;rečenica;Mama je mučni u babice, mnogo puno puno puno.;0,542857;NE;-;NE;MOŽE;
36;0,80;S;rečenica;Brat svakog društva državu pripadajući želju stalno budući dozvoljavajući život.;0,323529;NE;-;NE;MOŽE;
37;0,80;SV;rečenica;Često šetam po šumi i brojim svoje šagovi, teško je češći put.;0,408163;NE;-;NE;MOŽE;
38;0,90;SN;rečenica;Voda voga golova, gol vole voga loko. Vih volog, golu ljubav, golub vole voga. Golvog voda, loko voga, gol vole voga.;0,750000;NE;-;NE;NE;
39;0,90;S;rečenica;Stara kuhinja je puna rukava. Zvuka i ručnih radova. Voda iz fontane bježi prema dnu. Zeleni cvjetovi mirisnu.;0,295455;NE;-;NE;MOŽE;
40;0,90;SV;rečenica;Čestitamo šest đečaka i djevojčica koje su pobjegle šljunke.;0,420000;NE;-;NE;MOŽE;
41;0,50;N;rečenica;Mama je mučno pripadala mnogim niskim nagradama, jer je njena misija bila pobjednik u mnogim najvažnijim njihovim nagradnim njorgovima.;0,312500;NE;-;NE;MOŽE;
42;0,50;S;rečenica;Kad braća karakteriraju svoj karakter, često koriste razne metode analize.;0,428571;NE;-;DA*;MOŽE;"osim riječi ""karakteriraju"", ostatak rečenice ima smisla"
43;0,50;SV;rečenica;Čaček šuma šešavara šest dana je trešio šumski šljuk.;0,395349;NE;-;NE;MOŽE;
44;0,60;SN;rečenica;Voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol.;0,714286;DA;-;NE;NE;
45;0,70;S;rečenica;Na fakultetu u Zagrebu študiraju mnogi studenti iz raznih krajeva Hrvatske i drugih zemalja.;0,298701;NE;-;DA*;MOŽE;"osim riječi ""študiraju"", ostatak rečenice ima smisla"
46;0,70;V;rečenica;Čučenje čvrste čine čekamo, često čist čudesno čvrsto čini, šut, možemo kazati više čvrsto, čini često, čekamo, čist čudesno!;0,191919;NE;-;NE;NE;
47;0,80;SN;rečenica;Voda gura lozju, hvala ljubavi, vjetar gusar ljeto hod, vuk gura loza hren ljut.;0,366667;NE;-;NE;MOŽE;
48;0,80;S;rečenica;Državamo karakater silne znanja i iskušene stručnost jer to je ključna osnova za dobrodošljiv razvoj i doživjet ćemo to zajedno.;0,285714;NE;-;NE;MOŽE;
49;0,80;SV;rečenica;Šljun šeđeći šećer šljebiše te šljubaste šećere šljebišeše.;0,574468;NE;-;NE;NE;
50;0,80;V;rečenica;Vjetar šešerice šuma šumiše, šuma šume, šume.;0,083333;NE;-;NE;NE;
51;0,90;N;rečenica;mm, mn, mmm, mnm, mmmm, mmn, mmmmm, mmnn, mmmmmm, mmmmmmm, i;0,975000;DA;-;NE;NE;
52;0,90;S;rečenica;Brada kroži krađu, rađa se nad kožom, a kroz kraj džungli, život se širi.;0,472727;NE;-;NE;MOŽE;
53;0,90;SV;rečenica;Teško je često šest ježevađevojki koje teško je često šest ježevađevojki.;0,580645;NE;-;NE;NE;
54;0,50;N;riječ;Mama;0,500000;DA;DA;-;DA;
55;0,50;N;riječ;Mjesečina;0,222222;NE;DA;-;DA;
56;0,50;N;riječ;Njen;0,666667;DA;DA;-;DA;
57;0,50;N;riječ;Babica;0,333333;NE;DA;-;DA;
58;0,50;N;riječ;Mud;0,666667;DA;NE;-;NE;
