datoteka;MAX_NEW_TOKENS;zadatak;saturacija;klasa;završeno;tekst;vrijeme [s];broj_riječi;broj_znakova
2025-07-01_162137_task_1.txt;1024;10 riječi;50%;N;DA;"Mama;Baba;Papuč;Mnog;Bun;Pun;Babuš";396.80 ;7;
2025-07-01_162729_task_2.txt;1024;10 riječi;50%;SN;DA;"Voda;Gol;Loža;Vlak;Glava;Hvala;Ljubav;Gor;Vlaknj;Hod";351.07;10;
2025-07-01_163406_task_3.txt;1024;10 riječi;50%;S;NE;;397.71 ;;
2025-07-01_164044_task_4.txt;1024;10 riječi;50%;SV;NE;;398.68 ;;
2025-07-01_164723_task_5.txt;1024;10 riječi;50%;V;DA;"Vić;Čić;Plić;Ćuš;Izvić;Ići;Ćuć";398.23 ;7;
2025-07-01_165359_task_6.txt;1024;10 riječi;60%;N;NE;;396.84 ;;
2025-07-01_170037_task_7.txt;1024;10 riječi;60%;SN;NE;;396.55 ;;
2025-07-01_170716_task_8.txt;1024;10 riječi;60%;S;NE;;399.71 ;;
2025-07-01_171353_task_9.txt;1024;10 riječi;60%;SV;NE;;396.76 ;;
2025-07-01_172029_task_10.txt;1024;10 riječi;60%;V;NE;;396.10 ;;
2025-07-01_172704_task_11.txt;1024;10 riječi;70%;N;NE;;394.60 ;;
2025-07-01_173338_task_12.txt;1024;10 riječi;70%;SN;NE;;394.45 ;;
2025-07-01_174014_task_13.txt;1024;10 riječi;70%;S;NE;;395.78 ;;
2025-07-01_174650_task_14.txt;1024;10 riječi;70%;SV;NE;;396.22 ;;
2025-07-01_175325_task_15.txt;1024;10 riječi;70%;V;NE;;394.48 ;;
2025-07-01_180000_task_16.txt;1024;10 riječi;80%;N;NE;;395.02 ;;
2025-07-01_180633_task_17.txt;1024;10 riječi;80%;SN;NE;;392.75 ;;
2025-07-01_181307_task_18.txt;1024;10 riječi;80%;S;DA;"Kard;Radak;Drak;Krad;Krađa;Kafar;Kradža";394.24 ;7;
2025-07-01_181941_task_19.txt;1024;10 riječi;80%;SV;NE;;394.56 ;;
2025-07-01_182618_task_20.txt;1024;10 riječi;80%;V;NE;;397.42 ;;
2025-07-01_183254_task_21.txt;1024;10 riječi;90%;N;NE;;395.31 ;;
2025-07-01_183931_task_22.txt;1024;10 riječi;90%;SN;NE;;397.00 ;;
2025-07-01_184605_task_23.txt;1024;10 riječi;90%;S;NE;;393.61 ;;
2025-07-01_185239_task_24.txt;1024;10 riječi;90%;SV;NE;;394.30 ;;
2025-07-01_185912_task_25.txt;1024;10 riječi;90%;V;NE;;392.67 ;;
2025-07-10_153706_task_1.txt;1024;rečenica;50%;N;NE;;396.24 ;;
2025-07-10_154326_task_2.txt;1024;rečenica;50%;SN;NE;;380.05 ;;
2025-07-10_154957_task_3.txt;1024;rečenica;50%;S;NE;;391.66 ;;
2025-07-10_155643_task_4.txt;1024;rečenica;50%;SV;NE;;405.58 ;;
2025-07-10_160314_task_5.txt;1024;rečenica;50%;V;NE;;391.50 ;;
2025-07-10_160948_task_6.txt;1024;rečenica;60%;N;NE;;393.05 ;;
2025-07-10_161619_task_7.txt;1024;rečenica;60%;SN;NE;;391.36 ;;
2025-07-10_162108_task_8.txt;1024;rečenica;60%;S;DA;Mali rat ide kraj dubokog kašna, dok šećer i kruh padaju na stol, a šljunak i fiskalski pregled pokazivaju da je sve u redu.;288.73 ;;97
2025-07-10_162736_task_9.txt;1024;rečenica;60%;SV;NE;;388.34 ;;
2025-07-10_163402_task_10.txt;1024;rečenica;60%;V;NE;;385.64 ;;
2025-07-10_164034_task_11.txt;1024;rečenica;70%;N;NE;;391.91 ;;
2025-07-10_164710_task_12.txt;1024;rečenica;70%;SN;NE;;396.69 ;;
2025-07-10_165340_task_13.txt;1024;rečenica;70%;S;DA;Možda brat će staviti raf u kantinu, dok će ona pisati pjesmu za kudeljku.;389.59 ;;58
2025-07-10_165710_task_14.txt;1024;rečenica;70%;SV;DA;Čekam šetati u času, šetnja je lijepa čast.;209.94 ;;33
2025-07-10_170351_task_15.txt;1024;rečenica;70%;V;NE;;401.56 ;;
2025-07-10_170830_task_16.txt;1024;rečenica;80%;N;DA;Mama je mučni u babice, mnogo puno puno puno.;278.38 ;;35
2025-07-10_171459_task_17.txt;1024;rečenica;80%;SN;NE;;389.48 ;;
2025-07-10_172129_task_18.txt;1024;rečenica;80%;S;DA;Brat svakog društva državu pripadajući želju stalno budući dozvoljavajući život.;389.98 ;;68
2025-07-10_172527_task_19.txt;1024;rečenica;80%;SV;DA;Često šetam po šumi i brojim svoje šagovi, teško je češći put.;237.68 ;;49
2025-07-10_173205_task_20.txt;1024;rečenica;80%;V;NE;;398.02 ;;
2025-07-10_173837_task_21.txt;1024;rečenica;90%;N;NE;;391.95 ;;
2025-07-10_174250_task_22.txt;1024;rečenica;90%;SN;DA;Voda voga golova, gol vole voga loko. Vih volog, golu ljubav, golub vole voga. Golvog voda, loko voga, gol vole voga.;253.01 ;;88
2025-07-10_174919_task_23.txt;1024;rečenica;90%;S;DA;Stara kuhinja je puna rukava. Zvuka i ručnih radova. Voda iz fontane bježi prema dnu. Zeleni cvjetovi mirisnu.;389.55 ;;88
2025-07-10_175552_task_24.txt;1024;rečenica;90%;SV;DA;Čestitamo šest đečaka i djevojčica koje su pobjegle šljunke.;392.23 ;;50
2025-07-10_180220_task_25.txt;1024;rečenica;90%;V;NE;;388.25 ;;
2025-07-19_152450_task_1.txt;2048;rečenica;50%;N;DA;Mama je mučno pripadala mnogim niskim nagradama, jer je njena misija bila pobjednik u mnogim najvažnijim njihovim nagradnim njorgovima.;286.71;;112
2025-07-19_153814_task_2.txt;2048;rečenica;50%;SN;NE;;804.12 ;;
2025-07-19_154623_task_3.txt;2048;rečenica;50%;S;DA;Kad braća karakteriraju svoj karakter, često koriste razne metode analize.;489.20 ;;63
2025-07-19_155136_task_4.txt;2048;rečenica;50%;SV;DA;Čaček šuma šešavara šest dana je trešio šumski šljuk.;313.37 ;;43
2025-07-19_160501_task_5.txt;2048;rečenica;50%;V;NE;;804.76 ;;
2025-07-19_161803_task_6.txt;2048;rečenica;60%;N;NE;;782.36 ;;
2025-07-19_162753_task_7.txt;2048;rečenica;60%;SN;DA;Voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol voda voda voda gol gol gol.;589.23 ;;168
2025-07-19_164058_task_8.txt;2048;rečenica;60%;S;NE;;785.67 ;;
2025-07-19_165416_task_9.txt;2048;rečenica;60%;SV;NE;;798.09 ;;
2025-07-19_170727_task_10.txt;2048;rečenica;60%;V;NE;;790.27 ;;
2025-07-19_172048_task_11.txt;2048;rečenica;70%;N;NE;;801.50 ;;
2025-07-19_173404_task_12.txt;2048;rečenica;70%;SN;NE;;796.10 ;;
2025-07-19_174024_task_13.txt;2048;rečenica;70%;S;DA;Na fakultetu u Zagrebu študiraju mnogi studenti iz raznih krajeva Hrvatske i drugih zemalja.;379.61 ;;77
2025-07-19_175330_task_14.txt;2048;rečenica;70%;SV;NE;;786.42 ;;
2025-07-19_175805_task_15.txt;2048;rečenica;70%;V;DA;Čučenje čvrste čine čekamo, često čist čudesno čvrsto čini, šut, možemo kazati više čvrsto, čini često, čekamo, čist čudesno!;274.18 ;;99
